時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
0,-2.325,-7.519,-20.338,-7.435,24.908,17.08,-7.609,23.121
0.01,-2.329,-7.528,-20.336,-7.446,24.937,17.058,-7.617,23.16
0.02,-2.317,-7.548,-20.33,-7.453,24.947,17.06,-7.649,23.19
0.03,-2.292,-7.528,-20.33,-7.453,24.947,17.064,-7.609,23.248
0.04,-2.289,-7.535,-20.33,-7.453,24.947,17.053,-7.624,23.268
0.05,-2.289,-7.535,-20.33,-7.453,24.947,17.053,-7.624,23.268
0.06,-2.289,-7.535,-20.33,-7.453,24.947,17.053,-7.624,23.268
0.07,-2.288,-7.539,-20.33,-7.453,24.947,17.048,-7.631,23.278
0.08,-2.289,-7.529,-20.323,-7.44,24.956,17.053,-7.624,23.268
0.09,-2.289,-7.535,-20.33,-7.453,24.947,17.053,-7.624,23.268
0.1,-2.288,-7.525,-20.349,-7.432,24.917,17.053,-7.624,23.268
0.11,-2.312,-7.517,-20.349,-7.432,24.917,17.044,-7.608,23.219
0.12,-2.312,-7.517,-20.349,-7.432,24.917,17.044,-7.608,23.219
0.13,-2.292,-7.514,-20.349,-7.432,24.917,17.069,-7.602,23.239
0.14,-2.293,-7.517,-20.338,-7.435,24.908,17.057,-7.605,23.229
0.15,-2.291,-7.518,-20.349,-7.432,24.917,17.064,-7.609,23.248
0.16,-2.288,-7.525,-20.349,-7.432,24.917,17.053,-7.624,23.268
0.17,-2.288,-7.539,-20.33,-7.453,24.947,17.048,-7.631,23.278
0.18,-2.285,-7.546,-20.33,-7.453,24.947,17.037,-7.646,23.297
0.19,-2.275,-7.544,-20.33,-7.453,24.947,17.049,-7.642,23.307
0.2,-2.285,-7.546,-20.33,-7.453,24.947,17.037,-7.646,23.297
0.21,-2.256,-7.557,-20.323,-7.474,24.878,17.037,-7.646,23.297
0.22,-2.258,-7.573,-20.336,-7.479,24.859,17.048,-7.673,23.278
0.23,-2.26,-7.58,-20.336,-7.479,24.859,17.053,-7.687,23.268
0.24,-2.231,-7.574,-20.323,-7.468,24.8,17.053,-7.687,23.268
0.25,-2.231,-7.574,-20.323,-7.468,24.8,17.053,-7.687,23.268
0.26,-2.231,-7.574,-20.323,-7.468,24.8,17.053,-7.687,23.268
0.27,-2.207,-7.581,-20.323,-7.468,24.8,17.062,-7.702,23.317
0.28,-2.197,-7.58,-20.323,-7.468,24.8,17.075,-7.699,23.326
0.29,-2.194,-7.584,-20.317,-7.455,24.81,17.058,-7.72,23.356
0.3,-2.192,-7.557,-20.304,-7.429,24.829,17.048,-7.693,23.375
0.31,-2.177,-7.56,-20.304,-7.429,24.829,17.039,-7.698,23.424
0.32,-2.168,-7.565,-20.304,-7.429,24.829,17.057,-7.708,23.424
0.33,-2.158,-7.563,-20.304,-7.429,24.829,17.069,-7.705,23.434
0.34,-2.177,-7.56,-20.304,-7.429,24.829,17.039,-7.698,23.424
0.35,-2.188,-7.564,-20.311,-7.422,24.82,17.031,-7.715,23.404
0.36,-2.191,-7.581,-20.317,-7.435,24.81,17.048,-7.735,23.375
0.37,-2.193,-7.577,-20.33,-7.441,24.79,17.058,-7.72,23.356
0.38,-2.191,-7.566,-20.336,-7.434,24.781,17.053,-7.707,23.365
0.39,-2.192,-7.58,-20.343,-7.447,24.771,17.058,-7.72,23.356
0.4,-2.192,-7.58,-20.343,-7.447,24.771,17.058,-7.72,23.356
0.41,-2.192,-7.58,-20.343,-7.447,24.771,17.058,-7.72,23.356
